BygdebandID;WD;distrikt;kommunWDID;kommun;distriktkod
313;http://www.wikidata.org/entity/Q21721296;Karesuando distrikt;http://www.wikidata.org/entity/Q499474;Kiruna kommun;324025
314;http://www.wikidata.org/entity/Q21566711;Fullestads distrikt;http://www.wikidata.org/entity/Q511297;Vårgårda kommun;107170
315;http://www.wikidata.org/entity/Q21567712;Yllestads distrikt;http://www.wikidata.org/entity/Q503214;Falköpings kommun;107191
316;http://www.wikidata.org/entity/Q21580219;Kisa distrikt;http://www.wikidata.org/entity/Q515299;Kinda kommun;108010
317;http://www.wikidata.org/entity/Q21704928;Västra Eds distrikt;http://www.wikidata.org/entity/Q515477;Västerviks kommun;105286
318;http://www.wikidata.org/entity/Q21779119;Skölvene distrikt;http://www.wikidata.org/entity/Q503111;Herrljunga kommun;107181
319;http://www.wikidata.org/entity/Q21704895;Dalhems distrikt;http://www.wikidata.org/entity/Q515477;Västerviks kommun;105284
320;http://www.wikidata.org/entity/Q21566683;Eriksbergs distrikt;http://www.wikidata.org/entity/Q503111;Herrljunga kommun;107182
321;http://www.wikidata.org/entity/Q21567718;Åsarps distrikt;http://www.wikidata.org/entity/Q503214;Falköpings kommun;107161
322;http://www.wikidata.org/entity/Q21779089;Romelanda distrikt;http://www.wikidata.org/entity/Q511394;Kungälvs kommun;109020
323;http://www.wikidata.org/entity/Q20795459;Skepplanda distrikt;http://www.wikidata.org/entity/Q498470;Ale kommun;107165
324;http://www.wikidata.org/entity/Q21567390;Jäla distrikt;http://www.wikidata.org/entity/Q503214;Falköpings kommun;107185
325;http://www.wikidata.org/entity/Q21566643;Brismene distrikt;http://www.wikidata.org/entity/Q503214;Falköpings kommun;107186
326;http://www.wikidata.org/entity/Q21567391;Jällby distrikt;http://www.wikidata.org/entity/Q503111;Herrljunga kommun;107178
327;http://www.wikidata.org/entity/Q21567437;Landa distrikt;http://www.wikidata.org/entity/Q511297;Vårgårda kommun;107174
328;http://www.wikidata.org/entity/Q21580254;Oppeby distrikt;http://www.wikidata.org/entity/Q515299;Kinda kommun;108015
329;http://www.wikidata.org/entity/Q21580405;Östra Eds distrikt;http://www.wikidata.org/entity/Q509997;Valdemarsviks kommun;105288
330;http://www.wikidata.org/entity/Q21567395;Jörlanda distrikt;http://www.wikidata.org/entity/Q511438;Stenungsunds kommun;109024
331;http://www.wikidata.org/entity/Q21580204;Hägerstads distrikt;http://www.wikidata.org/entity/Q515299;Kinda kommun;108014
332;http://www.wikidata.org/entity/Q21567375;Härja distrikt;http://www.wikidata.org/entity/Q501459;Tidaholms kommun;107196
333;http://www.wikidata.org/entity/Q19688593;Lunds domkyrkodistrikt;http://www.wikidata.org/entity/Q505018;Lunds kommun;101160
334;http://www.wikidata.org/entity/Q21560311;Silvåkra distrikt;http://www.wikidata.org/entity/Q505018;Lunds kommun;101172
335;http://www.wikidata.org/entity/Q19787871;Uppåkra distrikt;http://www.wikidata.org/entity/Q504609;Staffanstorps kommun;101157
336;http://www.wikidata.org/entity/Q21560359;Stora Råby distrikt;http://www.wikidata.org/entity/Q505018;Lunds kommun;101161
337;http://www.wikidata.org/entity/Q21560206;Lomma distrikt;http://www.wikidata.org/entity/Q427991;Lomma kommun;101153
338;http://www.wikidata.org/entity/Q21560217;Lövestads distrikt;http://www.wikidata.org/entity/Q504601;Sjöbo kommun;101147
339;http://www.wikidata.org/entity/Q21567492;Mjäldrunga distrikt;http://www.wikidata.org/entity/Q503111;Herrljunga kommun;107184
340;http://www.wikidata.org/entity/Q21608434;Sandhems distrikt;http://www.wikidata.org/entity/Q505076;Mullsjö kommun;107162
341;http://www.wikidata.org/entity/Q21567526;Näs distrikt;http://www.wikidata.org/entity/Q503214;Falköpings kommun;107193
342;http://www.wikidata.org/entity/Q21567424;Kymbo distrikt;http://www.wikidata.org/entity/Q501459;Tidaholms kommun;107194
343;http://www.wikidata.org/entity/Q21567696;Vårkumla distrikt;http://www.wikidata.org/entity/Q503214;Falköpings kommun;107189
344;http://www.wikidata.org/entity/Q21567686;Vartofta-Åsaka distrikt;http://www.wikidata.org/entity/Q503214;Falköpings kommun;107192
345;http://www.wikidata.org/entity/Q21567548;Remmene distrikt;http://www.wikidata.org/entity/Q503111;Herrljunga kommun;107175
346;http://www.wikidata.org/entity/Q21721229;Linderås distrikt;http://www.wikidata.org/entity/Q505071;Tranås kommun;105282
347;http://www.wikidata.org/entity/Q21721163;Adelövs distrikt;http://www.wikidata.org/entity/Q505071;Tranås kommun;105281
348;http://www.wikidata.org/entity/Q21779105;Sankt Peders distrikt;http://www.wikidata.org/entity/Q511241;Lilla Edets kommun;107166
349;http://www.wikidata.org/entity/Q21566651;Bråttensby distrikt;http://www.wikidata.org/entity/Q503111;Herrljunga kommun;107176
350;http://www.wikidata.org/entity/Q21560123;Hällestads distrikt;http://www.wikidata.org/entity/Q505018;Lunds kommun;101171
351;http://www.wikidata.org/entity/Q21566597;Algutstorps distrikt;http://www.wikidata.org/entity/Q511297;Vårgårda kommun;107172
352;http://www.wikidata.org/entity/Q21704931;Överums distrikt;http://www.wikidata.org/entity/Q515477;Västerviks kommun;105285
353;http://www.wikidata.org/entity/Q21566635;Borås Caroli distrikt;http://www.wikidata.org/entity/Q894327;Borås kommun;107074
354;http://www.wikidata.org/entity/Q21566649;Brunnsbo distrikt;http://www.wikidata.org/entity/Q52502;Göteborgs kommun;109003
355;http://www.wikidata.org/entity/Q21566618;Biskopsgårdens distrikt;http://www.wikidata.org/entity/Q52502;Göteborgs kommun;107084
356;http://www.wikidata.org/entity/Q21776803;Martebo distrikt;http://www.wikidata.org/entity/Q374794;Region Gotland;106079
357;http://www.wikidata.org/entity/Q21566653;Brämhults distrikt;http://www.wikidata.org/entity/Q894327;Borås kommun;107102
358;http://www.wikidata.org/entity/Q21567466;Lundby distrikt;http://www.wikidata.org/entity/Q52502;Göteborgs kommun;107083
359;http://www.wikidata.org/entity/Q21567656;Tvärreds distrikt;http://www.wikidata.org/entity/Q382808;Ulricehamns kommun;107078
360;http://www.wikidata.org/entity/Q21567484;Marbäcks distrikt;http://www.wikidata.org/entity/Q382808;Ulricehamns kommun;107107
361;http://www.wikidata.org/entity/Q21721235;Mulseryds distrikt;http://www.wikidata.org/entity/Q504689;Jönköpings kommun;105231
362;http://www.wikidata.org/entity/Q21567612;Toarps distrikt;http://www.wikidata.org/entity/Q894327;Borås kommun;107076
363;http://www.wikidata.org/entity/Q21567588;Sävedalens distrikt;http://www.wikidata.org/entity/Q125222;Partille kommun;107092
364;http://www.wikidata.org/entity/Q21567377;Härlanda distrikt;http://www.wikidata.org/entity/Q52502;Göteborgs kommun;107090
365;http://www.wikidata.org/entity/Q21566652;Brämaregårdens distrikt;http://www.wikidata.org/entity/Q52502;Göteborgs kommun;107085
366;http://www.wikidata.org/entity/Q21721230;Ljungarums distrikt;http://www.wikidata.org/entity/Q504689;Jönköpings kommun;105249
367;http://www.wikidata.org/entity/Q21566636;Borås Gustav Adolfs distrikt;http://www.wikidata.org/entity/Q894327;Borås kommun;107075
368;http://www.wikidata.org/entity/Q21567724;Äspereds distrikt;http://www.wikidata.org/entity/Q894327;Borås kommun;107105
369;http://www.wikidata.org/entity/Q21721217;Jönköpings Kristina distrikt;http://www.wikidata.org/entity/Q504689;Jönköpings kommun;105250
370;http://www.wikidata.org/entity/Q21566607;Backa distrikt;http://www.wikidata.org/entity/Q52502;Göteborgs kommun;109005
371;http://www.wikidata.org/entity/Q21567619;Torslanda distrikt;http://www.wikidata.org/entity/Q52502;Göteborgs kommun;109002
372;http://www.wikidata.org/entity/Q21608436;Utvängstorps distrikt;http://www.wikidata.org/entity/Q505076;Mullsjö kommun;107195
373;http://www.wikidata.org/entity/Q21779109;Siene distrikt;http://www.wikidata.org/entity/Q511297;Vårgårda kommun;107140
374;http://www.wikidata.org/entity/Q21566663;Börstigs distrikt;http://www.wikidata.org/entity/Q503214;Falköpings kommun;107157
375;http://www.wikidata.org/entity/Q21779141;Södra Björke distrikt;http://www.wikidata.org/entity/Q503111;Herrljunga kommun;107177
376;http://www.wikidata.org/entity/Q21567693;Vistorps distrikt;http://www.wikidata.org/entity/Q503214;Falköpings kommun;107190
377;http://www.wikidata.org/entity/Q21776770;Fårö distrikt;http://www.wikidata.org/entity/Q374794;Region Gotland;106092
378;http://www.wikidata.org/entity/Q21580308;Svinhults distrikt;http://www.wikidata.org/entity/Q515699;Ydre kommun;108003
379;http://www.wikidata.org/entity/Q21567422;Kvinnestads distrikt;http://www.wikidata.org/entity/Q511297;Vårgårda kommun;107173
380;http://www.wikidata.org/entity/Q21567543;Partille distrikt;http://www.wikidata.org/entity/Q125222;Partille kommun;107096
381;http://www.wikidata.org/entity/Q21721227;Lekeryds distrikt;http://www.wikidata.org/entity/Q504689;Jönköpings kommun;105253
382;http://www.wikidata.org/entity/Q21567412;Kortedala distrikt;http://www.wikidata.org/entity/Q52502;Göteborgs kommun;107093
383;http://www.wikidata.org/entity/Q21567524;Nylöse distrikt;http://www.wikidata.org/entity/Q52502;Göteborgs kommun;107091
384;http://www.wikidata.org/entity/Q21776821;Tingstäde distrikt;http://www.wikidata.org/entity/Q374794;Region Gotland;106082
385;http://www.wikidata.org/entity/Q21566631;Bollebygds distrikt;http://www.wikidata.org/entity/Q503102;Bollebygds kommun;107073
386;http://www.wikidata.org/entity/Q21776808;Othems distrikt;http://www.wikidata.org/entity/Q374794;Region Gotland;106083
387;http://www.wikidata.org/entity/Q21721189;Flisby distrikt;http://www.wikidata.org/entity/Q505096;Nässjö kommun;105255
388;http://www.wikidata.org/entity/Q21721208;Huskvarna distrikt;http://www.wikidata.org/entity/Q504689;Jönköpings kommun;105252
389;http://www.wikidata.org/entity/Q21560034;Eljaröds distrikt;http://www.wikidata.org/entity/Q515519;Tomelilla kommun;101182
390;http://www.wikidata.org/entity/Q21560096;Hardeberga distrikt;http://www.wikidata.org/entity/Q505018;Lunds kommun;101168
391;http://www.wikidata.org/entity/Q19978057;Lunds Allhelgona distrikt;http://www.wikidata.org/entity/Q505018;Lunds kommun;101164
392;http://www.wikidata.org/entity/Q21566394;Torups distrikt;http://www.wikidata.org/entity/Q498477;Hylte kommun;104035
393;http://www.wikidata.org/entity/Q21566385;Stafsinge distrikt;http://www.wikidata.org/entity/Q508168;Falkenbergs kommun;104036
394;http://www.wikidata.org/entity/Q21704930;Ålems distrikt;http://www.wikidata.org/entity/Q515250;Mönsterås kommun;105112
395;http://www.wikidata.org/entity/Q21566507;Berga distrikt;http://www.wikidata.org/entity/Q504235;Ljungby kommun;105095
396;http://www.wikidata.org/entity/Q21566560;Tannåkers distrikt;http://www.wikidata.org/entity/Q504235;Ljungby kommun;105096
397;http://www.wikidata.org/entity/Q21776781;Hamra distrikt;http://www.wikidata.org/entity/Q374794;Region Gotland;106003
398;http://www.wikidata.org/entity/Q21286605;Abilds distrikt;http://www.wikidata.org/entity/Q508168;Falkenbergs kommun;104042
399;http://www.wikidata.org/entity/Q21566411;Vinbergs distrikt;http://www.wikidata.org/entity/Q508168;Falkenbergs kommun;104038
400;http://www.wikidata.org/entity/Q21566520;Gårdsby distrikt;http://www.wikidata.org/entity/Q500217;Växjö kommun;105107
401;http://www.wikidata.org/entity/Q21566424;Alböke distrikt;http://www.wikidata.org/entity/Q509546;Borgholms kommun;103029
402;http://www.wikidata.org/entity/Q21566527;Hjortsberga-Kvenneberga distrikt;http://www.wikidata.org/entity/Q182007;Alvesta kommun;105079
403;http://www.wikidata.org/entity/Q21566535;Lekaryds distrikt;http://www.wikidata.org/entity/Q182007;Alvesta kommun;105101
404;http://www.wikidata.org/entity/Q21566415;Årstads distrikt;http://www.wikidata.org/entity/Q508168;Falkenbergs kommun;104039
405;http://www.wikidata.org/entity/Q21566580;Växjö Maria distrikt;http://www.wikidata.org/entity/Q500217;Växjö kommun;105103
406;http://www.wikidata.org/entity/Q21566531;Härlövs distrikt;http://www.wikidata.org/entity/Q182007;Alvesta kommun;105102
407;http://www.wikidata.org/entity/Q21566318;Alfshögs distrikt;http://www.wikidata.org/entity/Q508168;Falkenbergs kommun;104041
408;http://www.wikidata.org/entity/Q21566549;Ormesberga distrikt;http://www.wikidata.org/entity/Q500217;Växjö kommun;105105
409;http://www.wikidata.org/entity/Q21566391;Södra Unnaryds distrikt;http://www.wikidata.org/entity/Q498477;Hylte kommun;105093
410;http://www.wikidata.org/entity/Q21566333;Färgaryds distrikt;http://www.wikidata.org/entity/Q498477;Hylte kommun;105092
411;http://www.wikidata.org/entity/Q21566730;Grolanda distrikt;http://www.wikidata.org/entity/Q503214;Falköpings kommun;107187
412;http://www.wikidata.org/entity/Q21567710;Vättaks distrikt;http://www.wikidata.org/entity/Q501459;Tidaholms kommun;107197
413;http://www.wikidata.org/entity/Q21567416;Kullings-Skövde distrikt;http://www.wikidata.org/entity/Q511297;Vårgårda kommun;107171
414;http://www.wikidata.org/entity/Q21567447;Lena-Bergstena distrikt;http://www.wikidata.org/entity/Q511297;Vårgårda kommun;107169
415;http://www.wikidata.org/entity/Q21580372;Västra Eneby distrikt;http://www.wikidata.org/entity/Q515299;Kinda kommun;108013
416;http://www.wikidata.org/entity/Q21721273;Visingsö distrikt;http://www.wikidata.org/entity/Q504689;Jönköpings kommun;105279
417;http://www.wikidata.org/entity/Q21567573;Spekeröds distrikt;http://www.wikidata.org/entity/Q511438;Stenungsunds kommun;109025
418;http://www.wikidata.org/entity/Q21566430;Bäckebo distrikt;http://www.wikidata.org/entity/Q515318;Nybro kommun;105090
419;http://www.wikidata.org/entity/Q21566409;Vessige distrikt;http://www.wikidata.org/entity/Q508168;Falkenbergs kommun;104043
420;http://www.wikidata.org/entity/Q21566587;Örs distrikt;http://www.wikidata.org/entity/Q500217;Växjö kommun;105104
421;http://www.wikidata.org/entity/Q21566516;Dörarps distrikt;http://www.wikidata.org/entity/Q504235;Ljungby kommun;105098
422;http://www.wikidata.org/entity/Q21776826;Vamlingbo distrikt;http://www.wikidata.org/entity/Q374794;Region Gotland;106002
423;http://www.wikidata.org/entity/Q21566368;Morups distrikt;http://www.wikidata.org/entity/Q508168;Falkenbergs kommun;104037
424;http://www.wikidata.org/entity/Q21566512;Bolmsö distrikt;http://www.wikidata.org/entity/Q504235;Ljungby kommun;105094
425;http://www.wikidata.org/entity/Q21566435;Föra distrikt;http://www.wikidata.org/entity/Q509546;Borgholms kommun;103030
426;http://www.wikidata.org/entity/Q21566575;Vittaryds distrikt;http://www.wikidata.org/entity/Q504235;Ljungby kommun;105097
427;http://www.wikidata.org/entity/Q21566514;Dädesjö distrikt;http://www.wikidata.org/entity/Q500217;Växjö kommun;105108
428;http://www.wikidata.org/entity/Q21776820;Sundre distrikt;http://www.wikidata.org/entity/Q374794;Region Gotland;106001
429;http://www.wikidata.org/entity/Q21566329;Femsjö distrikt;http://www.wikidata.org/entity/Q498477;Hylte kommun;105073
430;http://www.wikidata.org/entity/Q21566381;Slättåkra distrikt;http://www.wikidata.org/entity/Q504692;Halmstads kommun;104034
431;http://www.wikidata.org/entity/Q21560701;Östraby distrikt;http://www.wikidata.org/entity/Q504619;Hörby kommun;101179
432;http://www.wikidata.org/entity/Q21560089;Hammarlunda distrikt;http://www.wikidata.org/entity/Q1130264;Eslövs kommun;101205
